Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
3-Jan-11,-0.8934,0.172,0.746,0.082,226,227,221.5,223.32,646442
4-Jan-11,-0.6996,0.133,0.806,0.06,223.32,229.5,223.32,227.97,1601540
5-Jan-11,-0.9442,0.319,0.638,0.044,227,232,225.6,226.27,2181684
6-Jan-11,-0.7906,0.179,0.726,0.094,227,227.65,224.2,226.16,1034935
7-Jan-11,-0.5859,0.14,0.766,0.094,227.5,227.99,223.8,225.99,1247251
10-Jan-11,-0.9723,0.272,0.667,0.062,227.5,228,223.5,224.44,571792
11-Jan-11,-0.9578,0.225,0.674,0.101,225.25,229.29,223.61,228.58,1501995
12-Jan-11,-0.3818,0.125,0.757,0.118,229,239.85,229,238.68,4938671
13-Jan-11,-0.7184,0.121,0.783,0.096,240,250.48,238.5,248.46,3835913
14-Jan-11,-0.872,0.154,0.771,0.074,249.25,250.25,242.1,243.35,1974180
17-Jan-11,-0.5994,0.143,0.752,0.104,245.35,245.35,239.55,244.64,1800665
18-Jan-11,-0.7506,0.167,0.776,0.057,245.99,246.3,238,239.77,1155122
19-Jan-11,-0.765,0.142,0.784,0.074,240.03,244.4,238.05,239.32,968551
20-Jan-11,-0.875,0.162,0.787,0.051,240.5,241.89,231.2,232.44,1325614
21-Jan-11,-0.8689,0.124,0.835,0.041,234,236.5,229.1,230.32,1206090
24-Jan-11,-0.8316,0.134,0.786,0.08,231.49,231.98,228.25,228.95,847308
25-Jan-11,-0.6486,0.11,0.812,0.077,229.8,233.7,229.76,232.4,910505
26-Jan-11,-0.9201,0.203,0.755,0.042,233.35,235.48,232.5,233.25,787194
27-Jan-11,-0.9172,0.193,0.774,0.032,233.25,235.15,231.3,231.82,421245
28-Jan-11,-0.936,0.209,0.735,0.056,232.8,235.4,231.4,233.43,789486
31-Jan-11,-0.9153,0.164,0.739,0.097,236,237.6,225,226.78,2396614
1-Feb-11,-0.9628,0.167,0.769,0.064,227.25,229.15,221.5,223.51,1263326
2-Feb-11,-0.9744,0.238,0.715,0.046,224.6,225.99,222,224.06,538453
3-Feb-11,-0.9568,0.191,0.768,0.041,225.6,229.75,224.05,229.1,540318
4-Feb-11,-0.959,0.181,0.792,0.028,229.1,231.25,227.8,229.83,825484
7-Feb-11,-0.9128,0.198,0.734,0.067,230.6,230.7,228,228.28,255302
8-Feb-11,-0.9081,0.135,0.81,0.055,228.91,229.09,224.75,224.97,613089
9-Feb-11,-0.9823,0.279,0.658,0.062,225.1,225.1,222.04,222.58,335173
10-Feb-11,-0.9531,0.181,0.777,0.041,222.58,223.5,213.5,214.88,1140101
11-Feb-11,-0.93,0.227,0.679,0.095,215,216.18,206.5,207.65,1069551
14-Feb-11,-0.8074,0.16,0.712,0.128,207.61,211,207.1,209.87,558722
15-Feb-11,-0.9658,0.148,0.814,0.038,210.1,215.9,210.1,213.99,688506
17-Feb-11,-0.9802,0.197,0.803,0,214.11,216.4,213.55,214.83,433580
18-Feb-11,-0.296,0.085,0.855,0.06,215.6,216.2,213.25,215.38,336472
21-Feb-11,-0.9413,0.133,0.824,0.043,215.5,216,211.33,212.31,206028
22-Feb-11,-0.4019,0.108,0.792,0.1,212.05,213.5,206,208.74,972662
23-Feb-11,-0.9118,0.148,0.784,0.068,209.11,209.49,205.55,206.14,564422
24-Feb-11,-0.9836,0.23,0.701,0.07,207.3,208.9,205.03,206.19,459962
25-Feb-11,-0.9489,0.172,0.756,0.072,206.19,206.7,195.89,200.08,1584615
28-Feb-11,-0.9601,0.129,0.846,0.025,199,205.25,195.55,202.95,803247
1-Mar-11,-0.9287,0.178,0.699,0.123,204.8,213.09,203.5,212.8,1467909
2-Mar-11,-0.8169,0.129,0.778,0.093,214.22,216,210.6,213.98,1470936
3-Mar-11,-0.9732,0.189,0.74,0.071,212.61,214.49,210.9,213.32,1073603
4-Mar-11,-0.959,0.213,0.691,0.095,213.49,219.4,212.5,216.48,1830120
7-Mar-11,-0.9747,0.2,0.744,0.056,218,225.65,216.5,221.63,2386039
8-Mar-11,-0.9911,0.279,0.656,0.065,222,223.4,219.11,222.57,753501
9-Mar-11,-0.9774,0.225,0.734,0.041,224.5,228.45,224,227.42,1598383
10-Mar-11,-0.9661,0.172,0.777,0.05,228.6,230.8,226.1,227.41,1585923
11-Mar-11,-0.6597,0.17,0.716,0.115,227.01,227.01,223.61,225.2,367215
14-Mar-11,-0.8729,0.174,0.708,0.118,226,228.4,225.17,225.77,513243
15-Mar-11,-0.9871,0.283,0.699,0.018,226.2,226.5,218.52,219.61,590052
16-Mar-11,-0.9882,0.222,0.778,0,221.49,223.99,213.62,216.48,871181
17-Mar-11,-0.8979,0.162,0.743,0.094,219,220.05,216.34,218.16,955119
18-Mar-11,-0.9825,0.264,0.666,0.07,218.25,222.8,214.01,216.23,1269219
21-Mar-11,-0.994,0.255,0.716,0.029,194.99,195,192.2,192.72,256276
22-Mar-11,-0.9677,0.248,0.676,0.076,194.05,197.4,193.2,194.34,733299
24-Mar-11,-0.9598,0.199,0.743,0.058,195,196,194.6,194.88,373019
25-Mar-11,-0.9885,0.241,0.709,0.05,195.8,196.4,195,195.66,462710
28-Mar-11,-0.6555,0.114,0.797,0.09,195.5,199.65,195.5,197.03,537171
29-Mar-11,-0.9313,0.185,0.716,0.099,197.99,202,197.8,201.38,809827
30-Mar-11,0.9555,0,0.76,0.24,202.6,206.25,202,205.71,651624
31-Mar-11,-0.9936,0.243,0.704,0.053,206.77,208.5,205.7,207.54,853056
1-Apr-11,-0.9702,0.2,0.698,0.102,207.7,209,206.55,208.53,744042
4-Apr-11,-0.8688,0.123,0.839,0.037,208.5,210.1,207.11,207.35,1021047
5-Apr-11,0.8074,0.096,0.729,0.175,207.99,208.01,206.02,207.8,611270
6-Apr-11,-0.8997,0.161,0.741,0.099,207.99,209.02,206.25,206.63,756120
7-Apr-11,-0.9915,0.336,0.664,0,206.98,207.15,204.5,205.2,293238
8-Apr-11,-0.9756,0.179,0.792,0.029,205,208.45,205,207.99,400176
11-Apr-11,-0.9477,0.156,0.802,0.042,208,208.2,205.9,206.54,167801
12-Apr-11,-0.8296,0.131,0.782,0.087,206.89,207,204.9,205.42,122821
13-Apr-11,-0.9584,0.209,0.73,0.061,206.4,206.4,203,204.71,129128
14-Apr-11,-0.9786,0.21,0.733,0.056,204.95,206.5,203.15,203.61,116451
15-Apr-11,-0.3612,0.085,0.834,0.081,204,204.5,200.5,202.07,240930
18-Apr-11,-0.9274,0.151,0.768,0.081,202.5,203.84,201.25,201.72,164326
19-Apr-11,-0.5423,0.103,0.806,0.091,201,201.07,197.11,197.67,241711
20-Apr-11,-0.8591,0.16,0.727,0.113,198.29,201.25,197.31,200.53,223046
21-Apr-11,0.7783,0.078,0.777,0.145,200.25,203.89,198.25,202.33,339109
22-Apr-11,0.1511,0.113,0.752,0.134,203,205.37,202.3,204.28,386833
25-Apr-11,-0.9657,0.203,0.725,0.071,203.95,204.94,202.65,202.93,104619
26-Apr-11,-0.8591,0.155,0.772,0.073,202.56,207.89,202.01,206.88,715325
27-Apr-11,-0.7096,0.093,0.855,0.052,208,208.05,205.65,206.24,508085
28-Apr-11,-0.9349,0.203,0.681,0.116,206,206.7,204,204.69,188693
29-Apr-11,-0.9426,0.247,0.633,0.119,205,208,204.8,207.05,619566
2-May-11,-0.9805,0.219,0.711,0.07,207.9,208.01,205.11,205.49,261812
3-May-11,-0.8126,0.131,0.788,0.081,206,207.1,202.26,203.36,199834
4-May-11,-0.9931,0.282,0.661,0.056,203.99,204.9,196.51,198.55,441453
5-May-11,-0.9509,0.196,0.777,0.027,199.01,204.45,199,203.01,372247
6-May-11,-0.9837,0.324,0.661,0.015,202.01,204,200.3,202.72,377051
9-May-11,-0.4767,0.147,0.732,0.121,203.25,205.8,202.51,205.03,449833
